,conf,i,j,out
0,11050000,0.2066353491,0.206638039,0.00572412295231
1,119000000,0.2058938746,0.2058956826,0.00337677047701
2,130050000,0.205779089,0.2057803192,0.00149514670741
3,130050000,0.2057973647,0.2057985968,0.00228621494532
4,130050000,0.2057973767,0.2057986415,0.00117981176364
5,130050000,0.2057998434,0.2058017562,0.00276738463975
6,130050000,0.2058034024,0.2058044087,0.00278436483579
7,130050000,0.205816913,0.2058175263,0.00112158911728
8,130050000,0.2058183103,0.2058202455,0.00337563907974
9,130050000,0.2058183575,0.2058203213,0.00225346428705
10,130050000,0.2058196766,0.20582073,0.00399132050497
11,130050000,0.2058249531,0.2058266652,0.0047442232433
12,130050000,0.2058354688,0.2058359829,0.00100643220793
13,130050000,0.2058382495,0.2058383808,0.000501981319801
14,130050000,0.2058413369,0.2058431144,0.00589470132942
15,130050000,0.2058428175,0.2058439506,0.00082483850453
16,130050000,0.2058569703,0.2058572167,0.000430992607843
17,130050000,0.2058598117,0.2058609752,0.000699570897549
18,130050000,0.20586515,0.2058655415,0.00111678225525
19,130050000,0.2058823191,0.2058827267,0.00158857924999
20,130050000,0.2059216263,0.2059223348,0.00085236382396
21,130050000,0.2059384299,0.2059391789,0.000726808435767
22,130050000,0.2059417057,0.2059431169,0.00212228658494
23,130050000,0.205957799,0.2059588471,0.00155111270135
24,130050000,0.205957799,0.2059588472,0.0015508586765
25,130050000,0.2059587409,0.2059601911,0.00194006137431
26,130050000,0.2059634776,0.205965439,0.00417856642185
27,130050000,0.2059788568,0.2059808679,0.00516510245671
28,130050000,0.2059799586,0.2059803139,0.000357407391097
29,130050000,0.2059799585,0.2059803139,0.000357468055944
30,130050000,0.205984801,0.2059848741,0.000282323507399
31,130050000,0.2059849688,0.2059864092,0.00124045737548
32,130050000,0.2060079433,0.2060086953,0.000464751376333
33,14450000,0.2042033581,0.2042055987,0.00155629088176
34,14450000,0.204204797,0.204206799,0.00137391720953
35,14450000,0.2042053284,0.2042076701,0.00168962648322
36,14450000,0.2042054966,0.2042061871,0.00194568785903
37,14450000,0.2042067818,0.2042088782,0.00147080285914
38,14450000,0.2042068209,0.2042072571,0.00186581143565
39,14450000,0.2042078858,0.2042084666,0.00190300051726
40,14450000,0.2042092155,0.2042095364,0.00181638081957
41,14450000,0.2042171775,0.2042191863,0.00140914954039
42,14450000,0.2042171775,0.2042191864,0.00141183768883
43,14450000,0.2042179496,0.2042197227,0.00130485802299
44,14450000,0.2042190287,0.2042195057,0.00194351947789
45,14450000,0.2042190674,0.204221184,0.00152732923738
46,14450000,0.2042196789,0.2042199073,0.00188931096982
47,14450000,0.2042198556,0.2042217301,0.00135957268476
48,14450000,0.2042213554,0.2042217211,0.0018935557255
49,14450000,0.2042220133,0.204222125,0.00187194289897
50,144500000,0.2062633706,0.2062643306,0.00486540372151
51,144500000,0.2063140914,0.20631486,0.0047830147852
52,153000000,0.2053480189,0.2053500592,0.00300122351535
53,164900000,0.2020555041,0.202056566,0.000841850259939
54,164900000,0.2020556019,0.202056604,0.000791116804743
55,164900000,0.2020690671,0.2020701673,0.000641304240495
56,164900000,0.2020692777,0.2020703027,0.000585605426686
57,168300000,0.2041137487,0.2041158199,0.00274466430782
58,170850000,0.2039478833,0.2039521012,0.00855198377802
59,170850000,0.2039490355,0.2039507273,0.00192953549966
60,170850000,0.2039499805,0.2039535881,0.00749009895655
61,170850000,0.2039501715,0.2039544545,0.00877943163642
62,170850000,0.2039507273,0.2039544862,0.00772594717005
63,170850000,0.2039511195,0.2039526991,0.00268611810506
64,170850000,0.203951244,0.2039556757,0.00902210230712
65,170850000,0.2039521012,0.2039535881,0.00185791268417
66,170850000,0.203952492,0.2039561134,0.00765502227447
67,170850000,0.2039526991,0.2039564447,0.00767234486429
68,170850000,0.2039530777,0.2039563949,0.0080895668457
69,170850000,0.2039531665,0.2039569491,0.00791183493291
70,170850000,0.2039533452,0.2039577598,0.00891651930074
71,170850000,0.2039537202,0.2039571748,0.00769199129371
72,170850000,0.2039549114,0.2039589923,0.0085288879097
73,170850000,0.2039551456,0.2039589137,0.00782067865406
74,170850000,0.2039556194,0.2039589393,0.00801329098524
75,170850000,0.2039556924,0.2039591328,0.00760511971682
76,170850000,0.2039561897,0.2039596572,0.00779380407964
77,170850000,0.2039564079,0.2039580321,0.00185319893617
78,170850000,0.2039564079,0.2039606303,0.00873712681979
79,170850000,0.203956937,0.2039603527,0.00740579847298
80,170850000,0.2039575288,0.2039589393,0.00206312241101
81,170850000,0.2039578883,0.2039620925,0.00890142797534
82,170850000,0.2039580321,0.2039616011,0.00764431724176
83,170850000,0.2039593319,0.203963686,0.00914231691648
84,170850000,0.2039600601,0.2039631972,0.00805642565486
85,170850000,0.2039601594,0.2039636499,0.00772105341031
86,170850000,0.2039610474,0.2039643247,0.00763461222259
87,170850000,0.203961208,0.2039648605,0.0079731500147
88,170850000,0.2039620925,0.2039636499,0.00202301350211
89,170850000,0.2039624534,0.203966858,0.00887899556656
90,170850000,0.2039632309,0.2039648697,0.00202179724546
91,170850000,0.2039632309,0.2039677873,0.00913692612863
92,170850000,0.2039633202,0.2039665208,0.00812869631986
93,170850000,0.2039642612,0.2039676107,0.00789895838556
94,170850000,0.2039645025,0.2039683028,0.00782663264262
95,170850000,0.2039648114,0.2039692932,0.00911665086353
96,170850000,0.2039648697,0.2039688342,0.00810189479409
97,170850000,0.2039652055,0.2039667353,0.0020136609377
98,170850000,0.2039652055,0.2039697451,0.00911449267068
99,170850000,0.2039667353,0.203970685,0.00806863657805
100,170850000,0.203966858,0.2039683028,0.0019247210707
101,170850000,0.2039670585,0.2039708904,0.0080049527097
102,170850000,0.2039673195,0.2039713276,0.00830183769096
103,170850000,0.2039674458,0.203970976,0.00844130914146
104,170850000,0.2039677105,0.203971391,0.00806374944679
105,170850000,0.2039691515,0.2039733938,0.00879716446277
106,170850000,0.2039691925,0.2039731846,0.00823603676313
107,170850000,0.2039700259,0.2039735782,0.00833442995037
108,170850000,0.2039701836,0.2039738985,0.00819710377939
109,170850000,0.2039702776,0.2039718532,0.00194682374428
110,170850000,0.2039702776,0.2039746737,0.00904893589555
111,170850000,0.2039711366,0.2039747161,0.00766826771541
112,170850000,0.2039718532,0.203975598,0.00794306712257
113,170850000,0.2039720626,0.2039757602,0.00810685877551
114,170850000,0.2039722267,0.2039765989,0.00916510508553
115,170850000,0.2039741091,0.2039774305,0.0082839213007
116,170850000,0.2039741108,0.2039774305,0.0103992316655
117,170850000,0.2039744301,0.2039780953,0.00798882546001
118,170850000,0.2039747185,0.2039781922,0.00795044132164
119,170850000,0.2039750733,0.2039789136,0.00827988509016
120,170850000,0.2039765989,0.2039780953,0.00197703726055
121,170850000,0.2039774337,0.2039808313,0.00838921454157
122,170850000,0.2039779691,0.2039815285,0.00819852378487
123,170850000,0.2039865121,0.2039906933,0.00851474645528
124,170850000,0.2039876837,0.2039920051,0.0087332332253
125,170850000,0.2039887398,0.2039929849,0.00872739161561
126,170850000,0.2039888689,0.2039924344,0.00744673750163
127,170850000,0.2039892968,0.2039931317,0.00809303493767
128,170850000,0.2039896412,0.2039933586,0.00768157258569
129,170850000,0.2039898333,0.2039942283,0.00897295236346
130,170850000,0.2039903569,0.2039943211,0.00827972435779
131,170850000,0.2039906933,0.2039924344,0.00204645289494
132,170850000,0.2039913347,0.203994913,0.00759960167078
133,170850000,0.2039914312,0.2039946307,0.00696924957175
134,170850000,0.2039915307,0.2039954182,0.00827990459809
135,170850000,0.2039919314,0.2039963095,0.00888076807202
136,170850000,0.2039920365,0.2039957767,0.00786003322983
137,170850000,0.203992514,0.2039965402,0.00849542616678
138,170850000,0.2039931317,0.2039946307,0.00187404972094
139,170850000,0.2039936128,0.2039976662,0.00850397515656
140,170850000,0.2039939182,0.2039971209,0.0071088704003
141,170850000,0.2039942283,0.2039957767,0.00195031448942
142,170850000,0.2039951199,0.2039993158,0.00871708449377
143,170850000,0.2039958866,0.20399927,0.00737815231062
144,170850000,0.2039964792,0.2040001983,0.00812243832351
145,170850000,0.2039965268,0.2040007028,0.00886870293376
146,170850000,0.2039969988,0.204000536,0.00761512475172
147,170850000,0.2039976662,0.20399927,0.00191910157959
148,170850000,0.2039978716,0.2039995143,0.00189976641568
149,170850000,0.2039978716,0.2040017231,0.00830611785889
150,170850000,0.2039979824,0.204002309,0.00911543252564
151,170850000,0.2039985165,0.2040015456,0.00694034032923
152,170850000,0.203999061,0.2040025182,0.00768454525016
153,170850000,0.2039994092,0.2040032396,0.00845829581856
154,170850000,0.2039995143,0.2040026866,0.00715512145592
155,170850000,0.2040001279,0.2040037476,0.00794440177145
156,170850000,0.2040007509,0.2040047213,0.0086751253679
157,170850000,0.2040010498,0.2040054145,0.00883406181349
158,170850000,0.2040017224,0.2040048155,0.00723528379141
159,170850000,0.2040018478,0.2040063653,0.00909478276023
160,170850000,0.204002309,0.2040037476,0.00184101101835
161,170850000,0.204002676,0.2040059205,0.00746676889887
162,170850000,0.2040032396,0.2040048155,0.00201338423952
163,170850000,0.2040033495,0.20400779,0.00905880774254
164,170850000,0.2040033533,0.2040071086,0.0077737755469
165,170850000,0.2040036771,0.2040077155,0.00844326632547
166,170850000,0.2040037449,0.2040076651,0.00804817893309
167,170850000,0.2040038196,0.2040083209,0.00908243250448
168,170850000,0.2040043647,0.2040060415,0.00209821314813
169,170850000,0.2040043647,0.2040085454,0.00867151724696
170,170850000,0.2040054145,0.2040071086,0.00211257942694
171,170850000,0.2040056088,0.2040095146,0.00802121692753
172,170850000,0.204005758,0.2040091681,0.00733343046085
173,170850000,0.2040058645,0.2040096503,0.00794624941538
174,170850000,0.2040059775,0.204010082,0.00864760430669
175,170850000,0.2040060415,0.2040096052,0.00758075214379
176,170850000,0.2040061532,0.2040101158,0.0082436220439
177,170850000,0.2040063371,0.2040105009,0.00869808625177
178,170850000,0.2040065654,0.2040108225,0.00889871622801
179,170850000,0.2040077155,0.2040091681,0.00193414827161
180,170850000,0.2040078205,0.2040120329,0.00876303861225
181,170850000,0.2040085552,0.2040127933,0.00883843358426
182,170850000,0.2040086514,0.2040101158,0.00191959607415
183,170850000,0.2040089589,0.204013326,0.00901919593277
184,170850000,0.2040100476,0.2040135925,0.00763327297822
185,170850000,0.204010082,0.2040117174,0.00209628017072
186,170850000,0.2040105347,0.2040144324,0.00841213933355
187,170850000,0.2040107808,0.2040144916,0.00790542132696
188,170850000,0.2040108355,0.2040151767,0.00912522829348
189,170850000,0.2040115584,0.2040131454,0.00199329229209
190,170850000,0.2040115584,0.2040156011,0.00863791152288
191,170850000,0.2040119069,0.2040164111,0.00940513582915
192,170850000,0.2040120329,0.2040135925,0.00198500738993
193,170850000,0.2040125252,0.2040157369,0.00722963341023
194,170850000,0.2040131454,0.2040165125,0.00748406564911
195,170850000,0.2040132944,0.2040169238,0.00794596687118
196,170850000,0.20401356,0.2040175773,0.00874767643837
197,170850000,0.2040139573,0.2040177621,0.00824146552154
198,170850000,0.2040145168,0.2040186869,0.00900030597238
199,170850000,0.2040157979,0.204019086,0.00752726941749
200,170850000,0.2040163477,0.2040198003,0.00780148745204
201,170850000,0.2040175773,0.204019086,0.00195355826819
202,177650000,0.2055187889,0.205520279,0.00280596897082
203,177650000,0.2055837435,0.2055850181,0.00128780507646
204,196350000,0.2038679307,0.2038699425,0.00560798687991
205,196350000,0.2038705965,0.2038724938,0.00563461723708
206,196350000,0.2038932825,0.2038944639,0.00730575228241
207,196350000,0.2038955239,0.2038965917,0.0074979996718
208,21250000,0.2041581122,0.2041648604,0.00923672153876
209,21250000,0.2042118157,0.2042193482,0.0103946554499
210,215900000,0.2013096057,0.2013105072,0.00235585374303
211,215900000,0.2013110058,0.2013117989,0.00228572696717
212,215900000,0.2013581672,0.2013592713,0.00255316539469
213,215900000,0.2013594317,0.2013604329,0.0024941468269
214,215900000,0.2013648112,0.2013659444,0.00263794886891
215,215900000,0.2013660479,0.2013670812,0.00258650776097
216,215900000,0.2013874268,0.201388321,0.00233114630596
217,215900000,0.2013889286,0.2013897147,0.00222062609801
218,215900000,0.2014382788,0.2014392785,0.00242750196586
219,221000000,0.2042500209,0.2042519449,0.00253966353059
220,221000000,0.2042589337,0.2042603273,0.00228933692969
221,221000000,0.2042934375,0.2042942588,0.00187924485903
222,221000000,0.204346532,0.2043487077,0.00248112066725
223,221000000,0.2043470367,0.2043488888,0.00243182584817
224,221000000,0.204354756,0.204355578,0.00201314782759
225,221000000,0.2043894102,0.2043904843,0.00179346842297
226,221000000,0.2043899605,0.2043907321,0.00172154616272
227,246500000,0.2025660912,0.2025677368,0.00314780063621
228,246500000,0.2026098003,0.2026110108,0.00104576806822
229,246500000,0.2026267397,0.2026280553,0.00119245159954
230,246500000,0.2027118895,0.2027119907,0.000682764084873
231,246500000,0.2027200364,0.2027213968,0.00143357780554
232,246500000,0.2027303482,0.2027304248,0.000723243687118
233,246500000,0.2027474751,0.2027481648,0.000134608809852
234,246500000,0.2028227743,0.2028232107,0.0013464385368
235,246500000,0.2028401562,0.2028405573,0.00133622462876
