,conf,i,j
0,100300000,0.2049985859,0.2052321269
1,100300000,0.2050019198,0.2052343283
2,100300000,0.2050277812,0.2052609723
3,100300000,0.2050307612,0.2052628095
4,101150000,0.2047640509,0.2048022292
5,101150000,0.2047717953,0.2047936984
6,101150000,0.2047945136,0.204816639
7,101150000,0.2047945136,0.2048234167
8,101150000,0.2047945136,0.2048446615
9,101150000,0.2048084635,0.2050864306
10,101150000,0.2048158485,0.2048234167
11,101150000,0.2048462343,0.2050802544
12,101150000,0.2048726041,0.2050607575
13,105400000,0.2094692547,0.2095822488
14,105400000,0.2094784866,0.2095822488
15,107950000,0.2070248273,0.207282084
16,107950000,0.2070261853,0.2072806293
17,112200000,0.2056625219,0.2058604224
18,113900000,0.2043195388,0.2044937814
19,113900000,0.2043357273,0.2045129535
20,113900000,0.2043357273,0.2045484467
21,113900000,0.2043365184,0.204512489
22,113900000,0.2043365184,0.2045129535
23,113900000,0.2043365184,0.2045484467
24,113900000,0.2043736415,0.2044619447
25,113900000,0.2043833637,0.20439347
26,113900000,0.2043887641,0.2044619447
27,113900000,0.2043909993,0.2044619447
28,113900000,0.2044093349,0.2044619447
29,113900000,0.2044093349,0.2044799957
30,113900000,0.2044093349,0.2044820954
31,113900000,0.204411674,0.2044619447
32,113900000,0.204411674,0.2044799957
33,113900000,0.2044127739,0.2044523064
34,113900000,0.2044269572,0.2044992512
35,116450000,0.2096007957,0.209674457
36,116450000,0.2096278492,0.20976912
37,116450000,0.2096346195,0.2097772347
38,116450000,0.2096351502,0.2097772347
39,116450000,0.209655326,0.2097316364
40,116450000,0.2096561101,0.2097316364
41,116450000,0.2096623938,0.2097386297
42,116450000,0.2096623938,0.2097389889
43,116450000,0.2096626638,0.2097386297
44,116450000,0.209666678,0.2097767092
45,116450000,0.2096669805,0.2097767092
46,116450000,0.2096735485,0.2097767092
47,116450000,0.2096735485,0.2097897969
48,116450000,0.209674457,0.2097767092
49,117300000,0.2057518542,0.2057997421
50,117300000,0.2057518542,0.205805539
51,117300000,0.2057985324,0.2057997421
52,11900000,0.206737161,0.2068824521
53,11900000,0.2067389323,0.2068824521
54,11900000,0.2067389344,0.2068824521
55,11900000,0.2067431697,0.2068902256
56,11900000,0.2067431696,0.2068902256
57,11900000,0.2068472335,0.206993313
58,11900000,0.2068490385,0.206993313
59,119000000,0.2059824233,0.2061255748
60,119850000,0.2063875599,0.2064981168
61,119850000,0.2064048289,0.2064807118
62,121550000,0.2031576247,0.2032384406
63,121550000,0.2031577744,0.2032384406
64,121550000,0.20316405,0.2032418893
65,121550000,0.2031641932,0.2032418893
66,127500000,0.2048704211,0.2050305478
67,130050000,0.2057973647,0.2057986415
68,130050000,0.2057973767,0.2057985968
69,130050000,0.2058183103,0.2058203213
