,conf,i,j,out
0,3,490,492,0.002513295320120
1,3,1625,1626,0.002114230036060
2,3,2485,2490,0.003166556022030
3,3,2141,2142,0.001517087196540
4,3,397,400,0.000786296204319
5,3,422,424,0.000990045585633
6,3,1704,1708,0.001887076230910
7,3,1494,1499,0.002645077350400
8,3,1943,1946,0.001876141763310
9,3,220,224,0.000143339155435
10,3,1817,1836,0.000537092536787
11,3,1190,1193,0.001286792596290
12,3,1149,1152,0.000348174604218
13,3,2075,2079,0.002333842844520
14,3,1757,1760,0.002624406209820
15,3,429,430,0.001891637637680
16,3,2056,2059,0.001848126466590
17,3,2229,2231,0.002444115094470
18,3,2222,2226,0.002115596048130
19,3,2025,2029,0.001151017654970
20,3,2865,2872,0.002871395815740
21,3,952,957,0.001102801963900
22,3,2028,2033,0.001048067149800
23,3,968,972,0.000545510241531
24,3,1369,1378,0.000105460882295
25,3,2009,2016,0.002845084554320
26,3,1090,1103,0.000849738539867
27,3,800,803,0.000809280043878
28,3,430,436,0.000418930178403
29,3,858,859,0.000568112079694
30,3,1582,1602,0.000292318145783
31,3,2555,2558,0.002779268438080
32,3,1359,1368,0.001169210496820
33,3,1234,1244,0.000234892957278
34,3,241,245,0.001793394093800
35,3,289,295,0.000744237727050
36,3,1882,1896,0.000751365716766
37,3,390,394,0.001055772096990
38,3,1054,1067,0.001192683402920
39,3,218,226,0.001953632207980
40,3,1445,1457,0.000305427454445
41,3,1011,1015,0.000976215628883
42,3,1064,1068,0.000429287461250
43,3,1107,1124,0.002709202086250
44,3,1266,1270,0.001031640859850
45,3,971,972,0.001526073937390
46,3,1160,1174,0.000475398109796
47,3,2048,2056,0.001091074701030
48,3,322,330,0.000572064797163
49,3,1701,1720,0.000300611459095
50,3,162,165,0.000339431139535
51,3,518,520,0.001863741060220
52,3,1085,1092,0.000396228099172
53,3,219,222,0.000412798805315
54,3,1346,1361,0.001134588633690
55,3,1776,1777,0.000761583363014
56,3,1269,1280,0.001332851290420
57,3,861,869,0.000985896748623
58,3,1728,1731,0.000871576954323
59,3,2599,2601,0.000150860237260
60,3,398,403,0.000478873317005
61,3,2790,2795,0.002985808834390
62,3,2265,2270,0.001039398208010
63,3,276,283,0.001416848394100
64,3,299,306,0.000484716416868
65,3,1153,1158,0.000570683224001
66,3,2453,2456,0.000272930666310
67,3,814,824,0.000716933142212
68,3,1390,1392,0.001400445542190
69,3,1030,1031,0.001855466184490
70,3,2708,2711,0.000096513033562
71,3,1434,1441,0.000244938418621
72,3,2656,2663,0.000497057373271
73,3,490,491,0.001922534321010
74,3,214,215,0.000721928712541
75,3,707,709,0.001122703485920
76,3,2153,2160,0.001729110250670
77,3,400,406,0.001831500863030
78,3,1715,1722,0.001602052962390
79,3,1428,1431,0.002229735165040
80,3,309,314,0.001359976548720
81,3,1374,1376,0.002269845178850
82,3,1498,1504,0.000956483015062
83,3,2428,2435,0.000110214645137
84,3,745,750,0.000333631386989
85,3,2239,2245,0.000489639915635
86,3,62,63,0.000602430672896
87,3,1141,1144,0.000364867459647
88,3,1377,1384,0.002532314426580
89,3,1278,1279,0.000316646008482
90,3,1300,1307,0.000275443890864
91,3,1560,1561,0.003039253552260
92,3,2099,2110,0.001210329245220
93,3,891,892,0.000836116186906
94,3,1429,1437,0.001361065669180
95,3,1038,1040,0.000792005235757
96,3,2036,2040,0.000525231588779
97,3,1345,1365,0.000374144813209
98,3,2222,2230,0.000897858171999
99,3,302,305,0.000524503933561
100,3,797,806,0.000603280997976
101,3,267,273,0.000523996507531
102,3,1613,1618,0.003066869804030
103,3,744,748,0.001217550454650
104,3,760,763,0.000500478014972
105,3,380,382,0.001018956160540
106,3,527,532,0.000633518712433
107,3,747,755,0.000451099766802
108,3,2624,2633,0.000096267477911
109,3,310,312,0.000411751018254
110,3,1938,1940,0.000668204769008
111,3,238,239,0.000579882840773
112,3,1355,1372,0.002412363049760
113,3,796,801,0.000436392266774
114,3,1911,1923,0.001599755075880
115,3,242,244,0.000330640876525
116,3,183,186,0.000386059092357
117,3,194,197,0.000448837631233
118,3,1845,1848,0.000401098260115
119,3,2019,2026,0.003580803233100
120,3,1727,1730,0.003597110249730
121,3,2384,2391,0.000918195719271
122,3,1370,1388,0.001172657662210
123,3,2735,2740,0.000346566146588
124,3,1100,1104,0.000662687952163
125,3,2076,2079,0.000034270239783
126,4,268,276,0.000134395713503
127,4,238,240,0.001508538525710
128,5,243,244,0.000197856519072
129,5,223,225,0.001711568322900
130,5,233,234,0.001146299076030
131,8,2748,2761,0.001541926617290
132,8,9,11,0.001311499027260
133,8,150,156,0.003124700083810
134,8,126,131,0.002779127104070
135,8,525,535,0.001496910202840
136,8,1839,1850,0.001004621676620
137,8,668,683,0.001009694979910
138,8,2338,2373,0.002331966762330
139,8,1055,1067,0.001959892725080
140,8,105,106,0.001436266379770
141,8,102,107,0.003257352488410
142,8,1076,1088,0.000105353753923
143,8,627,660,0.000241948119165
144,8,1527,1546,0.000682546263158
145,8,1462,1471,0.000312834516928
146,8,391,400,0.001398934245420
147,8,567,575,0.000986216184032
148,8,2018,2066,0.000938008412908
149,8,959,961,0.000549427593821
150,8,1150,1159,0.003599150374870
151,8,983,993,0.001226913790500
152,8,1496,1516,0.000258944395422
153,8,320,329,0.000641149808988
154,8,1889,1893,0.000243260754969
155,8,585,596,0.001196247967340
156,8,281,287,0.000682075011221
157,8,1439,1447,0.001876436658080
158,8,1294,1301,0.000072381455760
159,8,1050,1063,0.000313397680664
160,8,1798,1804,0.001452790026070
161,8,962,966,0.001242471111190
162,8,1227,1228,0.000480944432681
163,8,1043,1045,0.000162013967395
164,8,2305,2324,0.001323130715400
165,8,381,405,0.000809015763887
166,8,382,405,0.000507541793460
167,8,336,349,0.000636819452210
168,8,2308,2330,0.002772678257700
169,8,2692,2704,0.001194836784580
170,8,286,299,0.000969910018069
171,8,507,528,0.000960458392870
172,8,2053,2086,0.001707831563780
173,8,635,662,0.001139517153400
174,8,187,195,0.000465514256995
175,8,389,415,0.001224314582520
176,8,2162,2172,0.001529407755430
177,8,2389,2401,0.001003940275410
178,8,529,550,0.000388292551173
179,8,724,738,0.000939258587354
180,8,1808,1835,0.001829369703620
181,8,736,756,0.000484262783042
182,8,1005,1019,0.001079341789110
183,8,973,977,0.001678178251560
184,8,114,117,0.000085045191516
185,8,108,110,0.001646084106720
186,8,157,159,0.000466610048733
187,8,174,181,0.000581104145499
188,17,1175,1200,0.000223775303102
189,17,1525,1536,0.000207147130288
190,17,1523,1535,0.000229907873590
191,17,1515,1531,0.001316140060090
192,17,1160,1189,0.000207299855349
193,17,1452,1475,0.001353699231960
194,17,1967,1976,0.000466080380384
195,17,1968,1977,0.000565740219375
196,17,806,821,0.000248027298096
197,17,926,955,0.000276396619514
198,17,1152,1187,0.000504907320573
199,17,1897,1920,0.000164298489135
200,17,1144,1180,0.000528788795926
201,17,941,957,0.000203859973004
202,17,782,796,0.000593492448191
203,17,1099,1123,0.000481810128166
204,17,1883,1901,0.000425430136925
205,17,1513,1530,0.001684196057260
206,17,1223,1234,0.000401213901460
207,17,1337,1346,0.001239522464790
208,17,1715,1726,0.000988417528320
209,17,917,933,0.000588686167537
210,17,1301,1318,0.000544506240966
211,17,1266,1277,0.000372668220104
212,17,861,888,0.000675917258187
213,17,1314,1326,0.000957653545035
214,17,2011,2015,0.001321090250520
215,17,927,943,0.001204059788600
216,17,1988,1993,0.000172947854997
217,17,1941,1958,0.001326420629960
218,17,889,919,0.001821693671250
219,17,1749,1766,0.000690015461680
220,17,1463,1496,0.001140628851130
221,17,1252,1270,0.000749663381643
222,28,511,512,0.000018959690734
223,28,513,514,0.000119451741909
224,28,497,499,0.000465953610933
225,28,526,530,0.001542603583880
226,28,498,500,0.000623409905178
227,28,525,527,0.001339364846740
228,33,1142,1143,0.000550931079292
229,33,700,707,0.000502821421115
230,33,986,989,0.000546427687198
231,33,740,748,0.000519381004618
232,33,733,742,0.000502990506758
233,33,985,987,0.000566528367991
234,33,483,494,0.000651214513921
235,33,963,968,0.000673271541329
236,33,546,554,0.000724389372497
237,33,746,749,0.000636624624174
238,33,1105,1106,0.000645644374035
239,33,702,708,0.000592275422704
240,33,880,887,0.000556646601456
241,33,697,703,0.000490222937696
242,33,959,967,0.000724742478479
243,33,1146,1149,0.000590629429819
244,33,671,679,0.000488618235593
245,33,1121,1122,0.000794281055829
246,33,645,651,0.000490180561172
247,33,487,495,0.000721690251135
248,33,542,550,0.000670604038490
249,33,988,991,0.000552578649235
250,33,990,992,0.000523258104513
251,33,473,480,0.000519161208109
252,33,534,541,0.000518418209142
253,33,1168,1171,0.000585172579212
254,33,1102,1104,0.000654299537439
255,33,951,960,0.000751234859462
256,33,643,648,0.000531513987089
257,33,768,783,0.000798274562337
258,33,950,955,0.000788926843502
259,33,1089,1092,0.000464510209850
260,47,530,535,0.000120156271289
261,47,135,142,0.000166795586769
262,47,689,693,0.000149687753684
263,47,887,891,0.000229735542668
264,47,696,697,0.000121201833558
265,47,645,651,0.000661917703596
266,47,1296,1297,0.000297835189981
267,47,49,52,0.000141742910308
268,47,136,143,0.000526376003613
269,47,1132,1137,0.000559121731401
270,47,267,268,0.000110136580660
271,47,928,929,0.000551037144523
272,47,1042,1044,0.000641919103994
273,47,1301,1303,0.000134051347868
274,47,1249,1251,0.000264990570267
275,47,528,529,0.000206778747646
276,47,743,747,0.000991823742317
277,47,398,400,0.000174577876560
278,47,776,779,0.000444104465979
279,47,800,803,0.000338488717467
280,47,531,536,0.000303110547307
281,47,885,888,0.000523953138123
282,47,1034,1036,0.000159953570261
283,47,791,797,0.000691548942775
284,47,1113,1116,0.000125346020858
285,47,213,217,0.000150270365646
286,47,652,657,0.000499686796042
287,47,218,222,0.000424942151438
288,47,258,260,0.000230475964293
289,47,129,132,0.000114152371044
290,47,1254,1256,0.000569535478465
291,47,1164,1170,0.000576921380994
292,47,1131,1136,0.000726526329032
293,47,504,512,0.001257183102530
294,47,554,557,0.001241857965900
295,47,1271,1277,0.000452772517850
296,47,1115,1117,0.000180662283763
297,47,807,813,0.001332736685190
298,47,1035,1039,0.000412866234644
299,47,383,387,0.001251665425680
300,47,1147,1149,0.000407489504689
301,47,457,459,0.000403100853262
302,47,1123,1127,0.001088391069270
303,47,1118,1122,0.000602668819875
304,47,390,397,0.001050682637550
305,47,47,51,0.000455658502074
306,47,648,653,0.001125722615070
307,47,54,57,0.000570385345000
308,47,1174,1175,0.001403565805750
309,47,571,572,0.000429377110929
310,47,262,270,0.001462927278690
311,47,720,725,0.000632186458893
312,47,396,399,0.001664914479130
313,47,330,346,0.000262191876512
314,47,259,261,0.000602226876166
315,47,482,486,0.000951678120016
316,47,1038,1040,0.000797700714861
317,47,1093,1097,0.000544249808594
318,47,687,692,0.000215191782847
319,47,1119,1124,0.001464749593980
320,47,845,851,0.000808727846389
321,47,130,131,0.000406909151069
322,47,406,408,0.000608861986764
323,47,565,567,0.001742975975080
324,47,283,294,0.000522230596774
325,47,1226,1233,0.001403484789300
326,47,100,101,0.000386605022862
