,conf,i,j
0,3,2028,2037
1,3,2152,2155
2,8,2609,2639
3,8,3,5
4,8,29,36
5,8,3087,3107
6,8,1596,1628
7,8,1781,1803
8,8,1399,1425
9,8,1545,1573
10,8,1784,1805
11,8,1687,1712
12,8,335,346
13,8,1824,1856
14,8,114,115
15,8,1220,1233
16,8,1960,1988
17,8,2127,2165
18,8,3085,3107
19,8,1641,1680
20,8,1219,1233
21,8,2017,2071
22,8,1570,1596
23,8,1021,1036
24,8,1955,1989
25,8,1635,1667
26,8,1774,1793
27,8,2371,2388
28,8,1404,1425
29,8,3028,3043
30,8,1641,1667
31,8,2,5
32,8,1583,1596
33,8,1994,2017
34,8,101,107
35,8,101,106
36,8,2187,2212
37,8,2649,2658
38,8,2409,2450
39,8,3023,3043
40,8,475,483
41,8,338,346
42,8,473,481
43,8,1647,1658
44,8,1628,1652
45,8,559,560
46,8,554,562
47,8,2639,2661
48,8,2185,2212
49,8,1991,2017
50,8,2251,2273
51,8,1582,1587
52,8,105,107
53,8,2012,2043
54,8,535,538
55,8,635,641
56,8,195,200
57,8,514,522
58,8,2847,2871
59,8,1615,1652
60,8,2212,2253
61,8,1775,1803
62,8,400,405
63,8,336,344
64,8,707,717
65,8,320,322
66,8,2043,2077
67,8,394,400
68,8,1005,1008
69,8,1969,2012
70,8,515,520
71,8,516,520
72,8,507,509
73,8,516,522
74,8,515,522
75,8,514,520
76,8,381,386
77,8,382,386
78,8,382,384
79,8,381,384
80,8,1998,2012
81,8,724,726
82,8,535,541
83,8,1781,1813
84,8,613,621
85,8,281,284
86,8,413,420
87,8,473,483
88,8,522,537
89,8,1628,1632
90,8,1596,1615
91,8,1905,1953
92,8,2257,2296
93,8,286,291
94,8,717,730
95,8,1777,1784
96,8,1028,1036
97,8,2022,2042
98,8,1774,1787
99,8,1084,1092
100,8,1628,1662
101,8,1893,1905
102,8,1532,1537
103,8,522,538
104,8,621,637
105,8,1322,1329
106,8,1953,1958
107,8,2598,2609
108,8,2043,2076
109,8,1803,1824
110,8,1667,1687
111,8,2071,2112
112,8,575,585
113,8,519,535
114,8,1159,1167
115,8,1615,1632
116,8,1182,1203
117,8,2637,2645
118,8,843,862
119,8,522,539
120,8,520,537
121,8,1654,1689
122,8,377,382
123,8,377,381
124,8,520,539
125,8,1524,1537
126,8,2639,2660
127,8,1185,1208
128,8,522,545
129,8,1571,1587
130,8,383,400
131,8,386,400
132,8,380,400
133,8,122,130
134,8,501,515
135,8,501,516
136,8,2253,2264
137,8,319,341
138,8,635,658
139,8,520,545
140,8,501,514
141,8,2614,2649
142,8,520,538
143,8,1687,1700
144,8,1784,1797
145,8,724,750
146,8,512,535
147,8,122,131
148,8,1532,1542
149,8,559,562
150,8,1617,1628
151,8,35,36
152,28,497,501
153,28,498,502
154,33,865,867
155,33,467,468
156,33,856,859
157,33,332,334
158,33,306,308
159,33,463,465
160,33,442,444
161,33,291,292
162,3,1850,1851
163,3,2473,2474
164,3,1655,1656
165,3,1350,1373
166,3,1625,1644
167,3,2276,2295
168,3,2527,2528
169,3,2202,2213
170,3,2352,2366
171,3,2780,2781
172,3,2343,2353
173,3,1252,1263
174,8,1159,1167
175,8,316,342
176,8,1647,1658
177,8,685,706
178,8,785,786
179,8,803,804
180,8,784,786
181,8,293,294
182,8,192,193
183,8,1186,1187
184,8,558,559
185,8,1012,1013
186,8,415,416
187,8,684,685
188,8,854,855
189,8,494,495
190,8,975,976
191,8,613,614
192,8,645,646
193,8,738,739
194,8,843,844
195,8,475,476
196,8,346,347
197,10,2939,2940
198,10,3025,3026
199,12,804,814
200,12,804,813
201,12,863,875
202,12,872,887
203,17,994,1003
204,17,1633,1655
205,17,1400,1401
