,conf,i,j
498,3,6997,7035
499,3,6998,7035
500,3,7723,7773
501,3,8678,8711
502,3,1022,1028
503,3,1023,1028
504,3,7863,7903
505,3,8812,8840
506,3,6290,6347
507,3,7864,7903
508,3,8665,8694
509,3,6596,6638
510,3,5611,5654
511,3,5734,5778
512,3,6620,6655
513,3,2124,2151
514,3,7669,7715
515,3,6592,6634
516,3,8015,8060
517,3,7031,7076
518,3,2211,2240
519,3,8840,8881
520,3,2211,2239
521,3,2111,2141
522,3,5966,6008
523,3,8309,8352
524,3,7002,7052
525,3,8346,8385
526,3,8797,8814
527,3,8022,8067
528,3,8504,8535
529,3,6692,6748
530,3,7078,7123
531,3,8805,8834
532,3,4057,4070
533,3,1896,1912
534,3,7354,7407
535,3,7300,7343
536,3,7964,8005
537,3,1904,1915
538,3,7493,7529
539,3,6962,7002
540,3,1255,1277
541,3,2150,2175
542,3,1255,1276
543,3,2151,2175
544,3,1236,1259
545,3,2323,2354
546,3,5653,5688
547,3,2211,2238
548,3,6091,6141
549,3,6264,6294
550,3,4846,4855
551,3,7036,7084
552,3,1904,1914
553,3,6290,6352
554,3,6910,6948
555,3,167,174
556,3,7123,7169
557,3,5654,5688
558,3,8124,8157
559,3,7334,7382
560,3,9399,9410
561,3,6032,6054
562,3,6032,6053
563,4,3121,3130
564,4,2161,2168
565,4,3692,3699
566,4,4311,4314
567,4,1125,1142
568,6,6957,7002
569,6,1447,1468
570,6,4576,4618
571,6,1168,1196
572,6,8427,8469
573,6,1140,1177
574,6,8142,8187
575,6,8378,8421
576,6,7719,7753
577,6,9378,9405
578,6,9002,9022
579,6,7954,7995
580,6,4125,4176
581,6,8404,8455
582,6,9634,9660
583,6,9660,9686
584,6,8810,8846
585,6,8982,9016
586,6,10149,10171
587,6,9390,9418
588,6,9091,9133
589,6,8455,8507
590,6,9756,9790
591,6,8700,8743
592,6,9790,9820
593,6,8398,8455
594,6,9391,9423
595,6,8629,8662
596,6,8693,8737
597,6,9820,9841
598,6,8743,8788
599,6,8480,8535
600,6,9584,9606
601,6,1014,1042
602,6,8743,8791
603,6,6452,6476
604,6,9070,9114
605,6,9660,9691
606,6,8593,8629
607,9,4674,4676
608,9,3120,3134
609,9,931,952
610,9,3804,3835
611,9,1532,1548
612,9,8616,8623
613,9,3826,3837
614,9,1081,1091
615,9,6878,6883
616,9,425,430
617,9,1573,1604
618,10,1456,1460
619,10,496,498
620,10,497,498
621,3,9532,9541
622,3,4234,4245
623,3,5209,5268
624,3,5329,5379
625,3,4206,4218
626,3,1897,1912
627,3,5217,5268
628,3,1898,1912
629,3,9358,9359
630,3,6513,6569
631,3,9769,9779
632,3,1898,1911
633,3,1552,1574
634,3,9679,9687
635,3,7129,7154
636,3,3048,3060
637,3,7630,7670
638,3,922,949
639,3,5396,5419
640,3,5329,5369
641,3,4665,4673
642,3,2305,2349
643,3,8730,8741
644,3,5392,5402
645,3,1799,1808
646,3,7130,7154
647,3,999,1028
648,3,1799,1805
649,3,8210,8239
650,3,9286,9289
651,3,9275,9289
652,3,8849,8860
653,3,4039,4050
654,3,4280,4290
655,3,9270,9289
656,3,8288,8335
657,3,462,483
658,3,6637,6669
659,3,6745,6770
660,3,9740,9745
661,3,8091,8102
662,3,8699,8717
663,3,992,1030
664,3,4637,4655
665,3,8217,8325
666,3,2299,2349
667,3,2297,2346
668,3,436,451
669,3,4658,4670
670,3,4626,4642
671,3,4284,4285
672,4,2347,2368
673,4,1760,1807
674,6,326,349
675,6,5275,5286
676,6,230,251
677,6,2528,2546
678,6,376,404
679,6,11417,11419
680,6,1014,1058
681,6,2054,2091
682,6,5791,5953
683,6,1398,1419
684,9,4674,4676
685,9,8616,8623
686,9,3989,4017
687,9,3989,4014
688,9,3989,4016
689,9,7774,7791
690,9,3954,3977
691,9,1292,1323
692,9,65,69
693,9,3969,3978
694,9,460,464
695,9,6878,6883
696,9,6148,6185
697,9,1147,1154
698,9,1146,1149
699,9,4133,4140
700,9,64,68
701,9,7345,7375
702,9,2716,2780
703,9,3650,3682
704,9,2163,2185
705,9,4078,4111
706,9,4120,4143
707,9,7233,7292
708,9,6367,6420
709,9,6539,6593
710,9,6864,6909
711,9,4916,4984
712,10,982,988
713,10,1452,1459
714,3,9679,9687
715,3,9358,9359
716,3,9679,9702
717,3,9532,9541
718,3,968,1005
719,3,9216,9247
720,3,8963,8998
721,3,6605,6654
722,3,3899,3912
723,3,9285,9289
724,3,4313,4329
725,3,2192,2193
726,3,4734,4742
727,3,6335,6353
728,3,7241,7315
729,3,4653,4657
730,3,8849,8860
731,3,4637,4655
732,3,8091,8102
733,3,5396,5419
734,3,3520,3521
735,3,7643,7694
736,3,7319,7375
737,3,7390,7450
738,3,5210,5223
739,3,7316,7379
740,3,7274,7311
741,3,8211,8270
742,3,8212,8270
743,3,7634,7694
744,3,5138,5147
745,3,5139,5153
746,3,8215,8276
747,3,8952,8998
748,3,4621,4659
749,3,5740,5789
750,3,8619,8662
751,3,6925,6985
752,3,9805,9818
753,4,591,598
754,4,269,276
755,4,2053,2069
756,4,4168,4179
757,4,301,315
758,4,2069,2111
759,4,3325,3352
760,4,1898,1961
761,4,724,741
762,4,1694,1728
763,6,8935,8948
764,6,7733,7754
765,6,9929,9966
766,6,9290,9358
767,6,7523,7659
768,6,6694,6848
769,6,7007,7124
770,6,7054,7170
771,6,3063,3129
772,6,6694,6865
773,6,5510,5622
774,6,7333,7433
775,6,7500,7584
776,6,6345,6391
777,6,9455,9480
778,6,5342,5427
779,6,6292,6441
780,6,7052,7193
781,6,5643,5762
782,6,2881,2918
783,6,2881,2919
784,6,3083,3129
785,6,7021,7181
786,6,871,915
787,6,998,1058
788,6,5182,5349
789,6,784,833
790,6,611,654
791,6,6328,6371
792,6,1068,1103
793,6,11242,11250
794,6,844,888
795,6,988,1044
796,6,936,997
797,6,6232,6282
798,6,983,1039
799,6,7262,7324
800,6,7165,7343
801,6,1702,1754
802,9,4674,4676
803,9,6878,6883
804,9,8616,8623
805,9,6899,6937
806,9,320,324
807,9,4796,4819
808,9,6613,6690
809,9,3269,3297
810,9,2040,2087
811,9,859,888
812,9,5535,5627
813,9,1247,1284
814,9,853,888
815,9,3418,3451
816,9,8079,8117
817,9,5330,5335
818,9,2783,2785
819,9,3746,3784
820,9,2558,2633
821,9,2798,2801
822,9,2864,2867
823,9,3040,3050
824,9,3991,4003
825,9,8868,8897
826,9,438,447
827,3,9679,9687
828,3,9358,9359
829,3,8341,8364
830,3,8839,8899
831,3,8335,8369
832,3,8091,8102
833,3,4637,4655
834,3,4621,4659
835,3,9384,9407
836,3,4911,4914
837,3,7974,8031
838,3,5396,5419
839,3,396,423
840,3,4542,4592
