,conf,i,j,out
2149,6,9749,9835,0.002271036937120
2150,6,8060,8073,0.003168739710670
2151,6,10368,10373,0.002518170271460
2152,6,4723,4904,0.003765440359270
2153,6,7278,7318,0.002796812718490
2154,6,3929,4124,0.003395124514620
2155,6,1798,1814,0.002906513297930
2156,6,1082,1106,0.002613257318230
2157,6,560,617,0.003668220612537
2158,6,1399,1406,0.003342522602980
2159,6,2347,2438,0.003480760416460
2160,6,2325,2391,0.004168367120010
2161,6,5619,5821,0.001928328222820
2162,6,2906,2913,0.002747301763610
2163,6,783,879,0.006100831150210
2164,6,3397,3548,0.004053380347801
2165,6,1310,1331,0.002963571334090
2166,6,5746,5963,0.002722766250420
2167,6,1108,1133,0.003131314469651
2168,6,10215,10224,0.002327096543060
2169,6,10506,10540,0.004169673700080
2170,6,1623,1628,0.003425137775780
2171,6,10014,10015,0.002894940500353
2172,6,6435,6651,0.002742592797860
2173,6,5358,5554,0.003980586173400
2174,6,9887,9893,0.003761400338890
2175,6,3992,4183,0.003617196631250
2176,6,4780,4835,0.002646508893413
2177,6,2007,2154,0.004319281662370
2178,6,7063,7329,0.003975993688690
2179,6,847,928,0.002115015331630
2180,6,503,504,0.002675671425495
2181,6,592,593,0.002909941299308
2182,6,2797,2843,0.002687989507100
2183,6,1303,1309,0.003053197126958
2184,6,7135,7384,0.003130891025810
2185,6,1143,1156,0.002943530574791
2186,6,9269,9367,0.003915688289480
2187,6,6260,6483,0.002520456464610
2188,6,8540,8654,0.003879339883230
2189,6,8543,8683,0.003169193756230
2190,6,263,295,0.004218990792810
2191,6,5128,5317,0.003700644233080
2192,6,10740,10748,0.005133704794870
2193,6,1407,1411,0.003352636818363
2194,6,10272,10283,0.001295858304690
2195,6,5526,5571,0.002836925844840
2196,6,1719,1820,0.003346238982450
2197,6,10491,10499,0.003078074774380
2198,6,4629,4634,0.003416557909390
2199,6,3019,3053,0.003195432291870
2200,6,10266,10332,0.003046315898350
2201,6,1193,1226,0.003493830894950
2202,6,4558,4744,0.007897282755430
2203,6,2220,2323,0.003734353010850
2204,6,5244,5304,0.002885010505130
2205,6,3740,3887,0.003346708079710
2206,6,7638,7640,0.003323439494700
2207,6,1872,1873,0.004207840778630
2208,6,8291,8331,0.002226004669370
2209,6,1770,1893,0.007488699084780
2210,6,2752,2781,0.003404456345890
2211,6,7763,7801,0.003994598162840
2212,6,2700,2701,0.003336167272860
2213,6,1656,1687,0.003002798412732
2214,6,3336,3339,0.003584347336490
2215,6,1915,2033,0.003506719412650
2216,6,7900,7926,0.003956841017820
2217,6,4211,4404,0.003711632175090
2218,6,1959,1978,0.003718772640660
2219,6,7720,7778,0.003248892470750
2220,6,2699,2701,0.003814211566336
2221,9,4341,4430,0.004998804471370
2222,9,3188,3228,0.002719543851500
2223,9,9536,9543,0.002894638987940
2224,9,2247,2326,0.005119949897020
2225,9,4415,4484,0.003492513380060
2226,9,4682,4789,0.003833341439590
2227,9,1654,1720,0.001890064999910
2228,9,395,404,0.004182858836750
2229,9,5494,5620,0.003818137902190
2230,9,3641,3694,0.002846774445110
2231,9,515,543,0.004335555237340
2232,9,9602,9603,0.002400186434520
2233,9,9433,9438,0.002991667113270
2234,9,3067,3137,0.001194276920551
2235,9,4220,4294,0.003920512053940
2236,9,7381,7425,0.002715557713960
2237,9,1682,1741,0.002064215865670
2238,9,6416,6475,0.002464034463310
2239,9,466,500,0.001997876602066
2240,9,2150,2227,0.002993278734950
2241,9,4904,5030,0.002381552756840
2242,9,9471,9476,0.002829776177350
2243,9,2352,2393,0.004531259195220
2244,9,6067,6207,0.004929119949440
2245,9,4549,4661,0.003645865590120
2246,9,8178,8206,0.003341791357280
2247,9,1342,1421,0.003430187821480
2248,9,5501,5632,0.001184310274950
2249,9,2803,2806,0.003359432142770
2250,9,5227,5243,0.003307729015850
2251,9,646,677,0.002352444557790
2252,9,6379,6447,0.003294668014400
2253,9,7814,7899,0.001486921656380
2254,9,229,242,0.002428173118090
2255,9,1341,1421,0.003385172285810
2256,9,2828,2829,0.003462242722480
2257,9,8399,8446,0.002374293760840
2258,9,3971,4063,0.001755163007700
2259,9,4356,4507,0.003926167608840
2260,9,5647,5769,0.004342521500960
2261,9,5517,5523,0.003028725476290
2262,9,4441,4531,0.003243037683770
2263,9,5928,6047,0.003771109651690
2264,9,1327,1419,0.005806190330280
2265,9,1566,1664,0.003336997982101
2266,9,3647,3750,0.002880144542900
2267,9,7523,7611,0.003579012540360
2268,9,2961,3013,0.004711542523130
2269,9,4115,4223,0.001983500322470
2270,9,4757,4771,0.002247647173970
2271,9,5254,5261,0.002739107265170
2272,9,3501,3527,0.002408416942430
2273,9,7470,7487,0.003480459689440
2274,9,8918,8946,0.002829049682750
2275,9,4485,4516,0.003103174952740
2276,9,5761,5812,0.003425311809900
2277,9,5472,5501,0.003324592846505
2278,9,5228,5353,0.004044686961670
2279,9,6032,6070,0.004363280845750
2280,9,3541,3579,0.003679902774390
2281,9,3263,3342,0.003293735610484
2282,9,3932,4015,0.001023765803260
2283,9,4762,4808,0.004158881459050
2284,9,5430,5473,0.003521303777550
2285,9,8796,8836,0.002987843337130
2286,9,6528,6627,0.002673109752740
2287,9,1575,1638,0.002782521288390
2288,9,4542,4597,0.003489566612750
2289,9,3932,3971,0.003350714971170
2290,9,2854,2876,0.003967713492437
2291,9,8373,8421,0.001652672463560
2292,9,6360,6438,0.002447979788600
2293,9,3533,3583,0.004544170642040
2294,9,3892,3986,0.005118095844450
2295,9,5741,5856,0.003388269054510
2296,9,9299,9325,0.005617880990300
2297,9,5157,5183,0.003446371916220
2298,9,7792,7863,0.003308761594460
2299,9,5951,6059,0.002724073358420
2300,9,6965,7032,0.002593863854860
2301,9,1115,1169,0.002666078825570
2302,9,6186,6273,0.004135050414330
2303,9,3224,3297,0.004297779685740
2304,9,2915,2919,0.002963775953500
2305,9,2786,2818,0.003443409221986
2306,9,6225,6229,0.003907479783730
2307,9,74,78,0.005266589254910
2308,9,2462,2531,0.002691345462740
2309,9,5882,6011,0.004707325505600
2310,9,8490,8502,0.003648915620000
2311,9,6114,6207,0.002729632359250
2312,9,4470,4607,0.003231315555792
2313,9,1395,1457,0.002338251098847
2314,9,1394,1457,0.002337983485723
2315,9,5696,5812,0.002530548312190
2316,9,7875,7904,0.003269714707910
2317,9,1298,1388,0.004824782659130
2318,9,963,987,0.002596736595211
2319,9,6087,6129,0.005215392824120
2320,9,6708,6719,0.002854772201760
2321,9,4324,4416,0.002255117836240
2322,9,3274,3317,0.003519297029040
2323,9,4309,4334,0.007072323302280
2324,9,4276,4403,0.004403220965750
2325,9,8032,8105,0.003357902386810
2326,9,3361,3427,0.003305890602700
2327,9,5533,5667,0.004317699122900
2328,9,6773,6829,0.003901794751830
2329,9,9190,9216,0.002757949053700
2330,9,7882,7909,0.003323619278580
2331,9,6226,6327,0.003141378152180
2332,9,8971,9025,0.005542545938550
2333,9,6253,6359,0.004334979821720
2334,9,4010,4103,0.001391357661890
2335,9,4535,4567,0.002525296369080
2336,9,3485,3542,0.004894154499400
2337,9,4525,4551,0.004461995257300
2338,9,1254,1295,0.003838941619150
2339,9,4255,4348,0.003768660154070
2340,9,8071,8135,0.004780130858200
2341,9,5623,5744,0.004702245086530
2342,9,2018,2113,0.004841777030180
2343,9,9028,9073,0.005106488780150
2344,9,3670,3746,0.003497834958130
2345,9,3873,3958,0.003842401320182
2346,9,5404,5432,0.003612435758823
2347,9,6046,6125,0.003593909143570
2348,9,5622,5643,0.003078751175060
2349,9,1275,1346,0.004334056014580
2350,9,1280,1348,0.003707668017810
2351,3,1400,1417,0.001615332185940
2352,3,8715,8726,0.001858254403290
2353,3,3735,3746,0.002011539926030
2354,3,1843,1859,0.001983392215980
2355,3,1222,1237,0.001347342924868
2356,3,9226,9238,0.002657413609210
2357,3,8790,8819,0.000322136092436
2358,3,1780,1805,0.000021256745761
2359,3,1839,1864,0.001875303205430
2360,3,3497,3505,0.001019441689410
2361,3,4996,5023,0.003777368152810
2362,3,1648,1665,0.002903346058731
2363,3,1640,1664,0.002804446980492
2364,3,6785,6846,0.002384036096330
2365,3,8711,8789,0.001451125645909
2366,3,8596,8649,0.004700065723432
2367,3,9668,9688,0.004228328219070
2368,3,752,781,0.001135586419440
2369,3,3557,3571,0.004050334582860
2370,3,9888,9903,0.001995440302480
2371,3,2036,2074,0.003692039887840
2372,3,5587,5686,0.003449054853256
2373,3,5412,5516,0.002709130685630
2374,3,3552,3573,0.004277948809030
2375,3,6396,6527,0.002244628095810
2376,3,1320,1357,0.001521339879180
2377,3,4509,4587,0.003384875603830
2378,3,2254,2294,0.003174024478240
2379,3,685,701,0.002805704271815
2380,3,1517,1564,0.004415458755810
2381,3,3834,3856,0.004503287391080
2382,3,989,1005,0.009571040027170
2383,3,7891,8005,0.001578128106270
2384,3,2261,2298,0.003018646161570
2385,3,7978,8072,0.003413694488941
2386,3,1156,1234,0.004520358688930
2387,3,4240,4258,0.003013795122690
2388,3,6107,6211,0.004712764882450
2389,3,6813,6973,0.003303140314859
2390,3,9590,9617,0.003686366059924
2391,3,4987,5072,0.002945441004750
2392,3,880,884,0.002553892106760
2393,3,9973,9988,0.005612256462150
